120347855;KHALED . MYLENE FARMER . ( MICHEL POLNAREFF );LA POUPEE QUI FAIT NON [ DUO MYLENE . KHALED ] . 4' 30' - L'AUTRE [ MYLENE SEULE ] . 5' 15' [ LIVE;CD single;Neuf;S;S;POLYDOR 573 872 2;France;1997;1;10.00;EUR;https://img.cdandlp.com/2021/03/imgL/120347855.jpg
120347857;BLIND FAITH . ERIC CLAPTON;BLIND FAITH 6 TITRES + 2 ' BONUS ' NON INDIQUE;CD;occasion;M;M;POLYDOR 825 094 2;Europe;1986;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120347857.jpg
120347858;ERIC CLAPTON AND THE YARDBIRDS;ERIC CLAPTON AND THE YARDBIRDS 50 YEARS OF GOLDEN GREATS 18 TITRES;CD;occasion;M;M;BC 044;England;1995;1;7.50;EUR;https://img.cdandlp.com/2021/03/imgL/120347858.jpg
120347859;GROUNDHOGS;BLACK DIAMOND . CROSSCUT SAW;CD;occasion;M;EX;BGO RECORDS BGOCD131;England;1997;1;12.80;EUR;https://img.cdandlp.com/2021/03/imgL/120347859.jpg
120347860;CLAP YOUR HANDS SAY YEAH;SOME LOUD THUNDER;CD;occasion;M;M;WICHITA WEBB 117 CD;UK;2007;1;8.00;EUR;https://img.cdandlp.com/2021/03/imgL/120347860.jpg
120350028;COMPILATION . DIVERS . VARIOUS ARTISTS;C'EST SI BON '80 VOLUME 2 . JOHNNY HALLYDAY . PATRICIA KAAS . DANIEL BALAVOINE . CHRISTOPHE;CD;occasion;M;M;FRANCE LOISIRS POLYGRAM 353970;France;1997;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350028.jpg
120350029;BUBBLE;NO TIME TO LOSE;CD;occasion;M;M;RYTHM PROD RECORDS RP 05;France;1993;1;11.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350029.jpg
120350032;NADA SURF;ALWAYS LOVE - WHERE IS MY MIND + BONUS CLIP VIDEO ' ALWAYS LOVE ';CD single;occasion;M;M;CITY SLANG / SLANG 5038523 03319738523;France;2005;1;5.50;EUR;https://img.cdandlp.com/2021/03/imgL/120350032.jpg
120350033;NADA SURF;ALWAYS LOVE WHERE IS MY MIND + BONUS CLIP VIDEO ' ALWAYS LOVE ';CD single;Neuf;S;S;CITY SLANG / SLANG 5038523 03319738523;France;2005;1;6.50;EUR;https://img.cdandlp.com/2021/03/imgL/120350033.jpg
120350034;PHIL COULTER AND HIS ORCHESTRA;A GOOD THING GOING - RUNNAWAY BUNION VINYL TRANSPARENT;45T (SP 2 titres);occasion;NA;M;INFERNO HEAT 5;England;1979;1;8.90;EUR;https://img.cdandlp.com/2021/03/imgL/120350034.jpg
120350035;JOE COCKER . ( CATHERINE DENEUVE );N'OUBLIEZ JAMAIS - YOU ARE SO BEAUTIFUL ( LIVE ) CATHERINE DENEUVE UNIQUEMENT COVER;CD single;occasion;M;M;EMI MUSIC FRANCE 7243 884832 2;France;1997;1;7.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350035.jpg
120350036;WIRE;OUTDOOR MINER - PRACTICE MAKES PERFECT VINYL BLANC;45T (SP 2 titres);occasion;VG++;EX;EMI HARVEST HAR 5172 006 06891;England;1978;1;24.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350036.jpg
120350037;SKIDS (THE);ANIMATION - PROS AND CONS DISQUE SEUL PAS DE POCHETTE PHOTO;45T (SP 2 titres);occasion;NA;EX;VIRGIN RECORDS VS 323;England;1980;1;3.20;EUR;https://img.cdandlp.com/2021/03/imgL/120350037.jpg
120350959;6-9 (LE);LAISSEZ MOI ZAPPER - LE SLOVE A TRUE ( ACCOUSTICAL BULLSHIT );CD single;Neuf;S;S;NRJ MUSIC 962 495 9;E.U.;2004;1;6.50;EUR;https://img.cdandlp.com/2021/03/imgL/120350959.jpg
120350960;12 ME & RAPH;SHORT STORIES;CD;occasion;M;M;FATSKIN . AUTOPRODUCTION;France;2010;1;10.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350960.jpg
120350961;50 CENT;WINDOW SHOPPER . 3' 14' - I'LL WHIP YA HEAD BOY . 3' 57';CD single;occasion;M;M;G UNIT / INTERSCOPE RECORDS 0602498883594;E.U.;2005;1;5.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350961.jpg
120350962;HARMORAGE;PSYCHICO CORROSIF PROMO;CD;occasion;EX;M;SANS REFERENCE;France;2015;1;13.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350962.jpg
120350963;AIR;CALIFORNIE / LA FEMME D'ARGENT ( 9' 17' ) PROMO MONOTITRE;CD single;occasion;M;EX;SOURCE VISA 4276 LC 3098;EU;1998;1;6.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350963.jpg
120350964;BEYONCE SHAKIRA;BEAUTIFUL LIAR ( ALBUM VERSION ) . 3' 19' - BEAUTIFUL LIAR ( FREEMASONS REMIX EDIT ) . 3' 27';CD single;occasion;M;M;SONY BMG 88697 10197 2;EU;2007;1;7.50;EUR;https://img.cdandlp.com/2021/03/imgL/120350964.jpg
120350965;BEYONCE . SHAKIRA;BEAUTIFUL LIAR ( ALBUM VERSION ) . 3' 19' - BEAUTIFUL LIAR ( FREEMASONS REMIX EDIT ) . 3' 27';CD single;Neuf;S;S;SONY BMG 88697 10197 2;EU;2007;1;8.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350965.jpg
120350966;JOHN FAHEY;GOD, TIME AND CAUSALITY;CD;occasion;M;M;SHANACHIE RECORDS SH 97006;USA;1989;1;15.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350966.jpg
120350967;IAN BROWN . ( EX THE STONE ROSES );TIME IS MY EVERYTHING . 3' 52' TIME IS MY EVERYTHING ( UNKLE RECONSTRUCTION ) . 4' 40';CD;occasion;M;EX;FICTION POLYDOR 9869961;EU;2004;1;8.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350967.jpg
120350968;BILL NELSON'S RED NOISE;FURNITURE MUSIC - WONDERTOYS THAT LAST FOREVER - ACQUITTED BY MIRRORS VINYL ROUGE;45T (SP 2 titres);occasion;NA;EX;EMI HARVEST HAR 5176;England;1979;1;7.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350968.jpg
120350969;JOE COCKER . ( TONY JOE WHITE . JEFF LYNNE );NIGHT CALLS - OUT OF THE RAIN - NOT TOO YOUNG TO DIE OF A BROKEN HEART;CD;occasion;M;M;CAPITOL RECORDS Q SOUND 2045232;Holland;1991;1;6.00;EUR;https://img.cdandlp.com/2021/03/imgL/120350969.jpg
120350970;LEONARD COHEN;COHEN LIVE . LEONARD COHEN IN CONCERT;CD;occasion;M;M;COLUMBIA COL.477171 2;Austria;1994;1;8.80;EUR;https://img.cdandlp.com/2021/03/imgL/120350970.jpg
